type,run_name,run_id,hidden_sizes,val_mse_10step,rollout_length,mean_pos_mse
baseline,lemon-sweep-12,ztnyj35u,"[256, 256, 256, 128]",986.430602808282,10,0.015526258383242625
baseline,lemon-sweep-12,ztnyj35u,"[256, 256, 256, 128]",986.430602808282,25,0.49656718470789796
baseline,lemon-sweep-12,ztnyj35u,"[256, 256, 256, 128]",986.430602808282,50,8.707432159742234
baseline,lemon-sweep-12,ztnyj35u,"[256, 256, 256, 128]",986.430602808282,100,67.86779688024981
baseline,lemon-sweep-12,ztnyj35u,"[256, 256, 256, 128]",986.430602808282,200,504.2098616264708
baseline,lemon-sweep-12,ztnyj35u,"[256, 256, 256, 128]",986.430602808282,500,23544.537147764066
baseline,effortless-sweep-9,cjaef04b,"[512, 256, 128]",1100.4581960597027,10,0.01714814334535097
baseline,effortless-sweep-9,cjaef04b,"[512, 256, 128]",1100.4581960597027,25,0.6141663237359473
baseline,effortless-sweep-9,cjaef04b,"[512, 256, 128]",1100.4581960597027,50,22.554936191983735
baseline,effortless-sweep-9,cjaef04b,"[512, 256, 128]",1100.4581960597027,100,526.6189184526928
baseline,effortless-sweep-9,cjaef04b,"[512, 256, 128]",1100.4581960597027,200,5234.064067514901
baseline,effortless-sweep-9,cjaef04b,"[512, 256, 128]",1100.4581960597027,500,53982.01792623659
baseline,snowy-sweep-5,7nx5f7m7,"[128, 128, 128]",1137.1390816352543,10,0.023644864016039036
baseline,snowy-sweep-5,7nx5f7m7,"[128, 128, 128]",1137.1390816352543,25,0.7284109119861678
baseline,snowy-sweep-5,7nx5f7m7,"[128, 128, 128]",1137.1390816352543,50,17.218279793378272
baseline,snowy-sweep-5,7nx5f7m7,"[128, 128, 128]",1137.1390816352543,100,288.4104324127059
baseline,snowy-sweep-5,7nx5f7m7,"[128, 128, 128]",1137.1390816352543,200,4102.038537241826
baseline,snowy-sweep-5,7nx5f7m7,"[128, 128, 128]",1137.1390816352543,500,69111.59357252547
baseline,lyric-sweep-14,2pspv8sy,"[256, 256, 256, 128]",1152.379199407585,10,0.056062174090153405
baseline,lyric-sweep-14,2pspv8sy,"[256, 256, 256, 128]",1152.379199407585,25,3.8101187342898966
baseline,lyric-sweep-14,2pspv8sy,"[256, 256, 256, 128]",1152.379199407585,50,164.56095711938625
baseline,lyric-sweep-14,2pspv8sy,"[256, 256, 256, 128]",1152.379199407585,100,2012.5289506715496
baseline,lyric-sweep-14,2pspv8sy,"[256, 256, 256, 128]",1152.379199407585,200,14115.113180298691
baseline,lyric-sweep-14,2pspv8sy,"[256, 256, 256, 128]",1152.379199407585,500,122814.11284375617
baseline,fancy-sweep-6,86a7rhf9,"[512, 256, 128]",1163.975896411823,10,0.021585781791438018
baseline,fancy-sweep-6,86a7rhf9,"[512, 256, 128]",1163.975896411823,25,0.9241007830493263
baseline,fancy-sweep-6,86a7rhf9,"[512, 256, 128]",1163.975896411823,50,27.610485948250197
baseline,fancy-sweep-6,86a7rhf9,"[512, 256, 128]",1163.975896411823,100,458.17256292708856
baseline,fancy-sweep-6,86a7rhf9,"[512, 256, 128]",1163.975896411823,200,4285.046992468086
baseline,fancy-sweep-6,86a7rhf9,"[512, 256, 128]",1163.975896411823,500,50523.974293231295
conservation,eternal-sweep-18,i806cuqa,"[512, 256, 128]",1431.2447283735762,10,0.015332099829153206
conservation,eternal-sweep-18,i806cuqa,"[512, 256, 128]",1431.2447283735762,25,0.49295786055862545
conservation,eternal-sweep-18,i806cuqa,"[512, 256, 128]",1431.2447283735762,50,8.648700046665594
conservation,eternal-sweep-18,i806cuqa,"[512, 256, 128]",1431.2447283735762,100,66.86213409738275
conservation,eternal-sweep-18,i806cuqa,"[512, 256, 128]",1431.2447283735762,200,361.91629853457823
conservation,eternal-sweep-18,i806cuqa,"[512, 256, 128]",1431.2447283735762,500,2722.8796371345593
conservation,neat-sweep-1,7k355vqc,"[512, 256, 128]",1444.0903468649165,10,0.015330711766580504
conservation,neat-sweep-1,7k355vqc,"[512, 256, 128]",1444.0903468649165,25,0.4928820110249963
conservation,neat-sweep-1,7k355vqc,"[512, 256, 128]",1444.0903468649165,50,8.647671247019941
conservation,neat-sweep-1,7k355vqc,"[512, 256, 128]",1444.0903468649165,100,66.85573441450313
conservation,neat-sweep-1,7k355vqc,"[512, 256, 128]",1444.0903468649165,200,361.8833344648018
conservation,neat-sweep-1,7k355vqc,"[512, 256, 128]",1444.0903468649165,500,2722.64711425505
conservation,magic-sweep-8,d8hioriy,"[256, 256, 256, 256]",1446.7560256181268,10,0.015328571961938483
conservation,magic-sweep-8,d8hioriy,"[256, 256, 256, 256]",1446.7560256181268,25,0.4928674221143182
conservation,magic-sweep-8,d8hioriy,"[256, 256, 256, 256]",1446.7560256181268,50,8.647598298950703
conservation,magic-sweep-8,d8hioriy,"[256, 256, 256, 256]",1446.7560256181268,100,66.85533411986708
conservation,magic-sweep-8,d8hioriy,"[256, 256, 256, 256]",1446.7560256181268,200,361.8814062885676
conservation,magic-sweep-8,d8hioriy,"[256, 256, 256, 256]",1446.7560256181268,500,2722.632525165129
conservation,efficient-sweep-15,9bfl6r0h,"[512, 256, 128]",1449.5448761293956,10,0.015328117191045928
conservation,efficient-sweep-15,9bfl6r0h,"[512, 256, 128]",1449.5448761293956,25,0.49286483596189057
conservation,efficient-sweep-15,9bfl6r0h,"[512, 256, 128]",1449.5448761293956,50,8.647652153235796
conservation,efficient-sweep-15,9bfl6r0h,"[512, 256, 128]",1449.5448761293956,100,66.85584043914824
conservation,efficient-sweep-15,9bfl6r0h,"[512, 256, 128]",1449.5448761293956,200,361.88406292736056
conservation,efficient-sweep-15,9bfl6r0h,"[512, 256, 128]",1449.5448761293956,500,2722.6509128408097
conservation,easy-sweep-7,6m89o1em,"[128, 128, 128]",1449.6117628327288,10,0.015437880963611112
conservation,easy-sweep-7,6m89o1em,"[128, 128, 128]",1449.6117628327288,25,0.49345374594965413
conservation,easy-sweep-7,6m89o1em,"[128, 128, 128]",1449.6117628327288,50,8.652322481774823
conservation,easy-sweep-7,6m89o1em,"[128, 128, 128]",1449.6117628327288,100,66.88717828942794
conservation,easy-sweep-7,6m89o1em,"[128, 128, 128]",1449.6117628327288,200,362.01599269467175
conservation,easy-sweep-7,6m89o1em,"[128, 128, 128]",1449.6117628327288,500,2723.083118068321
